,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
278,aklavik,100,CA,1627364002,89,68.2191,-135.0107,56.23,1.16
279,nikolskoye,8,RU,1627364002,45,59.7035,30.7861,75.09,3.2
280,olovyannaya,99,RU,1627364003,59,50.95,115.5667,72.7,8.93
281,fortuna,90,US,1627364003,92,40.5982,-124.1573,55.92,1.01
282,teahupoo,18,PF,1627364003,74,-17.8333,-149.2667,71.56,5.57
283,grindavik,75,IS,1627364003,93,63.8424,-22.4338,49.55,10.36
284,bijie,30,CN,1627364004,75,27.3125,105.2942,75.02,9.13
285,chifeng,100,CN,1627364004,68,42.2683,118.9636,77.0,3.74
286,tommot,22,RU,1627364004,50,58.9564,126.2925,82.18,5.14
287,inirida,86,CO,1627364004,98,3.8653,-67.9239,70.75,1.59
288,kloulklubed,100,PW,1627364005,78,7.0419,134.2556,82.9,15.03
289,mount isa,90,GB,1627364005,84,53.6597,-1.8537,59.23,3.94
290,guerrero negro,97,MX,1627364005,95,17.6667,-100.0,66.16,4.9
291,wollongong,24,AU,1627364006,44,-34.4333,150.8833,71.08,11.16
292,chingirlau,1,KZ,1627364006,27,51.095,54.0814,75.09,6.44
293,lerwick,100,GB,1627364006,98,60.1545,-1.1494,53.6,9.17
294,tamiahua,4,MX,1627364007,89,21.2667,-97.45,77.43,4.79
295,mount gambier,90,GB,1627364007,84,53.6597,-1.8537,59.23,3.94
296,veraval,100,IN,1627364007,81,20.9,70.3667,83.39,23.42
297,ukiah,1,US,1627363803,43,39.1502,-123.2078,70.38,6.91
298,yaounde,75,CM,1627363804,94,3.8667,11.5167,67.53,1.14
299,half moon bay,100,LR,1627364008,89,6.3807,-10.6953,74.66,8.77
300,chokurdakh,100,RU,1627364008,61,70.6333,147.9167,45.66,13.4
301,biak,79,ID,1627364008,63,-0.9131,122.8766,82.33,10.4
302,gull lake,100,LR,1627364008,90,6.3266,-10.4965,74.19,7.56
303,esil,10,KZ,1627364009,33,51.9556,66.4042,68.22,7.58
304,bhadasar,100,IN,1627364009,56,28.2833,74.3167,90.86,18.77
305,podporozhye,87,RU,1627364009,75,60.9112,34.1706,67.46,1.25
306,canico,40,PT,1627364009,82,32.6333,-16.85,72.23,10.36
307,ayagoz,2,KZ,1627364010,37,47.9714,80.4392,75.22,21.03
308,raudeberg,100,NO,1627364010,86,61.9875,5.1352,67.6,10.65
309,port dickson,32,CD,1627364010,50,-7.0349,29.7638,70.11,6.38
310,astana,0,KZ,1627364011,45,51.1801,71.446,64.35,6.71
311,kavaratti,100,IN,1627364011,79,10.5669,72.642,81.81,20.27
312,chunhuhub,24,MX,1627364011,88,19.55,-88.6833,73.27,2.66
313,poso,70,ID,1627364011,55,-1.3959,120.7524,87.44,6.42
314,nogliki,100,RU,1627364012,86,51.8333,143.1667,69.44,4.14
315,sayyan,56,YE,1627364012,49,15.1718,44.3244,68.14,1.66
316,maumere,73,ID,1627364012,59,-8.6199,122.2111,83.79,4.36
317,muisne,84,EC,1627364012,85,0.6,-80.0333,75.06,5.68
318,lasa,97,IT,1627364013,90,46.6166,10.7002,61.02,3.8
319,abilene,1,US,1627363818,51,32.4487,-99.7331,86.27,1.01
320,hovd,25,MN,1627364013,36,48.0056,91.6419,76.75,5.66
321,lavrentiya,100,RU,1627364013,99,65.5833,-171.0,44.44,4.34
322,taoudenni,1,ML,1627364014,10,22.6783,-3.9836,92.79,2.71
323,pyay,100,MM,1627364014,93,18.8167,95.2167,77.72,8.3
324,porto recanati,40,PT,1627364014,94,41.1496,-8.611,61.95,0.0
325,carlagan,62,PH,1627364014,62,14.975,122.0456,89.33,17.6
326,kedougou,56,SN,1627364015,96,12.5579,-12.1743,73.29,5.03
327,jutai,41,BR,1627364015,91,-5.1833,-68.9,72.66,2.59
328,hami,1,CN,1627364015,13,42.8,93.45,96.24,4.81
329,morgan city,1,US,1627364015,100,39.7167,-90.2168,72.0,0.0
330,yar-sale,73,RU,1627364016,50,66.8333,70.8333,58.12,6.87
331,san carlos de bariloche,99,ML,1627363984,75,13.3034,-4.8956,76.35,8.03
332,asadabad,0,IR,1627364016,13,34.7824,48.1185,80.55,7.27
333,aswan,0,EG,1627364016,28,24.0934,32.907,85.3,10.36
334,wladyslawowo,71,PL,1627364017,86,54.7909,18.4009,71.94,6.31
335,maragogi,32,BR,1627364017,88,-9.0122,-35.2225,73.35,6.02
336,nuuk,77,GL,1627364017,76,64.1835,-51.7216,52.41,2.3
337,ostersund,70,SE,1627364018,68,63.1792,14.6357,64.85,8.05
338,pitimbu,34,BR,1627364018,85,-7.4706,-34.8086,72.19,7.54
339,riyadh,0,SA,1627363824,16,24.6877,46.7219,98.65,8.05
340,galle,92,LK,1627364018,81,6.0367,80.217,81.68,15.12
341,sulangan,74,PH,1627364018,71,11.1373,123.7228,86.72,21.65
342,grootfontein,0,NA,1627364019,86,-19.5667,18.1167,31.57,2.3
343,panzhihua,54,CN,1627364019,47,26.5851,101.7128,89.87,1.88
344,tripoli,0,LY,1627364019,63,32.8752,13.1875,78.78,15.05
345,vao,38,NC,1627364020,60,-22.6667,167.4833,68.77,16.53
346,necochea,87,AR,1627363804,89,-38.5473,-58.7368,36.03,21.85
347,alice town,1,US,1627364020,94,27.7523,-98.0697,80.38,3.44
348,nemuro,100,JP,1627364020,99,43.3236,145.575,70.23,5.46
349,lakatoro,90,VU,1627364020,81,-16.0999,167.4164,78.62,14.18
350,sinnamary,76,GF,1627364021,88,5.3833,-52.95,76.46,4.74
351,rudbar,79,AF,1627364021,10,30.15,62.6,105.1,12.3
352,pangnirtung,89,CA,1627364021,97,66.1451,-65.7125,47.84,1.81
353,san policarpo,99,ML,1627363871,75,13.3034,-4.8956,76.35,8.03
354,stornoway,75,GB,1627364022,94,58.2093,-6.3865,57.16,6.91
355,bacolod,73,PH,1627364022,75,10.6667,122.95,84.63,21.12
356,lozovik,58,RS,1627364022,52,44.4677,21.1007,83.05,8.03
357,bubaque,90,GW,1627364022,84,11.2833,-15.8333,79.2,8.19
358,coquimbo,0,CL,1627364023,93,-29.9533,-71.3436,47.93,3.44
359,kudahuvadhoo,100,MV,1627364023,73,2.6708,72.8944,82.08,10.65
360,kudat,20,MY,1627364023,52,6.8837,116.8477,93.13,14.97
361,umba,6,RU,1627364024,62,66.6871,34.3429,55.99,4.81
362,ilhabela,0,BR,1627364024,47,-23.7781,-45.3581,68.74,6.67
363,dillon,90,US,1627364024,95,34.4166,-79.3712,80.65,3.0
364,faanui,66,PF,1627364024,69,-16.4833,-151.75,79.47,9.08
365,maxixe,20,MZ,1627364025,88,-23.8597,35.3472,58.82,4.61
366,koulikoro,100,ML,1627364025,86,14.0,-7.75,72.19,3.91
367,katsuura,62,JP,1627364025,67,35.1333,140.3,81.19,12.12
368,natal,20,BR,1627363768,88,-5.795,-35.2094,73.62,3.44
369,san patricio,99,ML,1627363871,75,13.3034,-4.8956,76.35,8.03
370,oshawa,1,CA,1627364026,79,43.9001,-78.8496,70.81,0.0
371,lethem,59,GY,1627364026,91,3.3803,-59.7968,73.42,3.38
372,udachnyy,74,RU,1627364026,30,66.4167,112.4,87.69,4.29
373,cody,1,US,1627364026,18,44.5263,-109.0565,80.82,6.91
374,marquette,52,US,1627363866,92,46.5333,-87.6335,61.77,4.41
375,evensk,89,RU,1627364027,65,61.95,159.2333,61.88,5.97
376,alofi,29,NU,1627364027,83,-19.0595,-169.9187,75.09,3.44
377,camacupa,100,AO,1627364027,47,-12.0167,17.4833,49.14,3.76
378,kodinsk,30,RU,1627364027,27,58.6881,99.1844,89.67,8.3
379,sembakung,45,ID,1627364028,43,3.8167,117.25,85.93,2.3
380,jackson,1,US,1627364028,21,42.4165,-122.8345,85.87,4.61
381,asau,66,RO,1627364028,70,46.4333,26.4,76.39,2.64
382,north bend,100,FR,1627364029,95,50.3333,3.6667,61.79,8.9
383,muzhi,97,RU,1627364029,71,65.3667,64.6667,51.55,2.82
384,taree,3,AU,1627364029,52,-31.9,152.4667,68.05,9.22
385,muros,8,ES,1627364029,94,42.7762,-9.0603,62.83,4.54
386,bathsheba,40,BB,1627364030,83,13.2167,-59.5167,79.41,11.5
387,ratnagiri,90,IN,1627364030,79,16.9833,73.3,82.56,16.87
388,gizo,25,SB,1627364030,77,-8.103,156.8419,82.67,6.15
389,niteroi,0,BR,1627363836,72,-22.8833,-43.1036,67.62,4.61
390,muravlenko,45,RU,1627364031,47,63.7898,74.523,62.53,12.55
391,yavatmal,100,IN,1627364031,59,20.4,78.1333,84.13,19.6
392,yumen,73,CN,1627364031,14,40.2833,97.2,89.15,15.19
393,kasongo-lunda,60,CD,1627364031,42,-6.4667,16.8167,65.5,1.88
394,bajo baudo,85,ID,1627364032,71,-3.3788,120.3102,83.19,5.53
395,nanyamba,6,TZ,1627364032,49,-10.6833,39.8333,71.98,9.84
396,alekseyevsk,3,RU,1627364032,28,57.8406,108.3492,90.18,2.53
397,sedhiou,35,SN,1627364033,91,12.7081,-15.5569,74.03,2.68
398,kokubu,20,JP,1627363733,55,31.7333,130.7667,92.73,5.99
399,caruray,75,PH,1627364033,63,10.3094,119.0128,87.66,17.98
400,tuatapere,43,NZ,1627364033,77,-46.1333,167.6833,45.97,6.04
401,vurgun,0,AZ,1627364033,40,41.0942,45.4716,85.51,4.43
402,nyuksenitsa,16,RU,1627364034,59,60.4128,44.2397,56.17,5.68
403,impfondo,82,CG,1627364034,69,1.6381,18.0667,75.4,2.91
404,kyabram,53,AU,1627364034,58,-36.3167,145.05,62.87,19.19
405,luderitz,4,NA,1627364035,56,-26.6481,15.1594,60.24,0.6
406,axim,96,GH,1627364035,79,4.8699,-2.2405,76.17,7.9
407,hirna,97,ET,1627364035,75,9.2167,41.1,65.07,6.26
408,soure,9,BR,1627364036,82,-0.7167,-48.5233,77.86,9.01
409,jardim,32,BR,1627364036,48,-21.4803,-56.1381,71.82,4.47
410,masvingo,1,ZW,1627364036,68,-20.0637,30.8277,49.95,7.29
411,mahajanga,20,MG,1627364037,46,-15.7167,46.3167,73.42,13.8
412,manokwari,56,ID,1627364037,75,-0.8667,134.0833,83.05,7.11
413,beringovskiy,100,RU,1627364037,92,63.05,179.3167,51.01,7.83
414,oktyabrskoye,90,RU,1627364037,94,43.0645,44.7417,66.34,8.95
415,notodden,100,NO,1627364038,92,59.5594,9.2585,65.32,3.24
416,yarmouth,1,US,1627364038,90,41.7057,-70.2286,72.97,4.0
417,mayo,34,US,1627363918,92,38.8876,-76.5119,76.57,3.0
418,svetlaya,85,RU,1627364038,79,46.5389,138.3297,75.31,6.24
419,deputatskiy,96,RU,1627364039,51,69.3,139.9,51.66,11.23
420,havre-saint-pierre,90,CA,1627364039,100,50.2334,-63.5986,59.36,4.61
421,ohafia,99,NG,1627364039,89,5.6167,7.8333,68.47,1.63
422,camocim,34,BR,1627364039,82,-2.9022,-40.8411,75.67,12.59
423,jiwani,88,PK,1627364040,82,25.05,61.7417,84.16,8.1
424,sangmelima,82,CM,1627364040,89,2.9333,11.9833,66.4,2.39
425,tuy hoa,83,PH,1627364040,87,14.0183,120.7296,87.06,19.91
426,lasem,5,ID,1627364041,46,-6.6922,111.4527,87.57,9.26
427,bereznik,45,RU,1627364041,56,62.8551,42.7072,58.1,9.4
428,sao filipe,100,IN,1627363981,61,20.5113,76.2129,81.19,19.75
429,san cristobal,99,ML,1627363871,75,13.3034,-4.8956,76.35,8.03
430,noumea,26,NC,1627364041,62,-22.2763,166.4572,69.78,15.37
431,longyearbyen,75,SJ,1627364042,93,78.2186,15.6401,42.64,4.61
432,pedasi,100,PA,1627364042,87,7.5333,-80.0333,76.55,1.95
433,naryan-mar,86,RU,1627364042,63,67.6713,53.087,52.18,14.88
434,tan an,97,CM,1627364042,90,6.0653,10.6894,59.02,1.81
435,luwuk,79,ID,1627364043,63,-0.9516,122.7875,84.54,8.79
436,condega,59,NI,1627364043,86,13.365,-86.3985,68.86,2.62
437,turayf,0,SA,1627364043,34,31.6725,38.6637,84.45,11.5
438,margate,100,GB,1627364043,87,51.3813,1.3862,63.7,1.99
439,batagay-alyta,74,RU,1627364044,63,67.8006,130.4114,55.74,18.52
440,mafinga,3,TZ,1627364044,45,-7.25,35.0667,63.3,4.97
441,vallenar,0,CL,1627364044,49,-28.5708,-70.7581,51.12,3.56
442,vestmannaeyjar,100,IS,1627364045,77,63.4427,-20.2734,50.99,8.93
443,pemangkat,67,ID,1627364045,73,1.1667,108.9667,86.2,14.23
444,tabas,0,IR,1627364045,18,33.5959,56.9244,97.57,9.6
445,xuddur,73,SO,1627364045,57,4.1213,43.8894,76.14,22.28
446,akdepe,0,TM,1627364046,16,42.0551,59.3788,91.49,6.87
447,bac lieu,36,RS,1627364046,42,45.3919,19.2367,78.8,6.38
448,west wendover,3,US,1627364046,76,31.8024,-97.0917,83.7,1.99
449,dubrovnik,0,HR,1627364046,36,42.6481,18.0922,82.04,0.0
450,mitu,83,CO,1627364047,99,1.1983,-70.1733,70.07,0.38
451,shingu,86,JP,1627364047,62,33.7333,135.9833,88.79,4.29
452,hua hin,51,MX,1627364047,94,20.6755,-89.4092,76.93,3.76
453,grants pass,75,US,1627364047,82,35.1473,-107.8514,62.83,6.91
454,gat,0,IL,1627364048,62,31.61,34.7642,86.4,4.74
455,imbituba,100,BR,1627364048,92,-28.24,-48.6703,65.82,6.2
456,izumo,40,JP,1627364048,66,35.3667,132.7667,87.75,11.5
457,aguimes,75,ES,1627364049,78,27.9054,-15.4461,68.67,19.57
458,emirdag,0,TR,1627364049,55,39.0197,31.15,69.75,5.95
459,dumai,49,ID,1627364049,42,1.6833,101.45,93.74,3.38
460,new bern,100,LR,1627364049,95,6.6518,-10.5932,72.68,4.41
461,lake city,1,US,1627364050,73,42.3334,-88.0006,78.44,5.01
462,vila franca do campo,11,PT,1627364050,93,42.0304,-8.1588,54.73,3.49
463,san vicente,99,ML,1627363984,75,13.3034,-4.8956,76.35,8.03
464,halmstad,20,SE,1627364050,85,56.6745,12.8568,71.02,3.44
465,nanortalik,83,GL,1627364051,78,60.1432,-45.2371,45.18,5.93
466,richards bay,40,US,1627364051,83,46.8361,-95.9123,77.18,4.61
467,villarrica,98,PY,1627364051,96,-25.75,-56.4333,60.55,11.05
468,cyangugu,83,RW,1627364051,73,-2.4846,28.9075,62.11,2.46
469,saint-georges,99,GD,1627364052,83,12.0564,-61.7485,78.94,10.11
470,payson,1,US,1627364052,58,40.0444,-111.7321,78.69,11.5
471,wenling,100,CN,1627364052,84,28.3669,121.36,89.91,10.63
472,negombo,40,LK,1627364052,74,7.2083,79.8358,86.05,10.36
473,kazerun,3,IR,1627364053,10,29.6195,51.6541,102.54,18.54
474,xicotencatl,1,MX,1627364053,91,23.0167,-98.8833,80.71,4.05
475,tecpan,80,GT,1627364053,95,14.7623,-90.9947,53.37,3.15
476,kuito,75,AO,1627364054,48,-12.3833,16.9333,47.41,4.0
477,brasilia,0,BR,1627364045,71,-15.7797,-47.9297,54.52,4.61
478,biltine,100,TD,1627364054,68,14.5333,20.9167,77.76,11.72
479,svetlogorsk,89,BY,1627364054,55,52.6333,29.7333,74.97,9.35
480,lata,65,PT,1627364054,95,40.1629,-8.3327,63.91,2.06
481,mimongo,95,GA,1627364055,88,-1.6195,11.6068,67.03,2.24
482,ulaangom,17,MN,1627364055,34,49.9811,92.0667,81.7,8.88
483,novikovo,13,RU,1627364055,40,51.1537,37.8879,77.54,3.15
484,zabid,95,YE,1627364056,59,14.1951,43.3152,87.96,2.64
485,vicksburg,40,US,1627364056,89,32.3526,-90.8779,82.08,4.61
486,pangody,100,RU,1627364056,49,65.85,74.4859,59.67,13.56
487,ramhormoz,0,IR,1627364056,6,31.28,49.6035,102.27,2.86
488,kulhudhuffushi,100,MV,1627364057,77,6.6221,73.07,81.63,16.26
489,assomada,48,CV,1627364057,83,15.1,-23.6833,71.15,7.78
490,matara,96,LK,1627364057,71,5.9485,80.5353,84.36,15.5
491,nyrob,58,RU,1627364058,60,60.733,56.7202,55.11,10.65
492,kholmogory,53,RU,1627364058,57,64.2229,41.656,57.31,10.67
493,namatanai,37,PG,1627364058,74,-3.6667,152.4333,83.12,8.03
494,nhulunbuy,75,AU,1627364058,65,-12.2333,136.7667,83.01,13.8
495,daru,92,PG,1627364059,80,-9.0763,143.2092,78.6,15.03
496,evanston,20,US,1627363838,68,42.0411,-87.6901,79.05,5.75
497,topolobampo,11,MX,1627364059,70,25.6,-109.05,84.06,2.01
498,campoverde,33,PE,1627364060,73,-8.4753,-74.8058,75.58,0.31
499,leningradskiy,93,RU,1627364060,88,69.3833,178.4167,39.2,7.18
500,waipawa,100,NZ,1627364060,87,-41.4122,175.5153,50.63,9.1
501,badiraguato,61,MX,1627364060,94,25.3667,-107.5167,76.19,5.35
502,barreirinha,27,BR,1627364061,69,-2.7933,-57.07,73.24,1.86
503,talara,87,PE,1627364061,81,-4.5772,-81.2719,69.04,16.15
504,falam,97,MM,1627364061,96,22.9167,93.6833,68.59,2.57
505,huarmey,54,PE,1627364061,88,-10.0681,-78.1522,64.76,6.02
506,pingzhuang,100,CN,1627364062,73,42.0372,119.2889,74.34,0.87
507,bilma,97,NE,1627364062,46,18.6853,12.9164,88.99,9.51
508,ostrovnoy,100,RU,1627364062,83,68.0531,39.5131,46.47,20.65
509,tessalit,98,ML,1627364063,37,20.1986,1.0114,89.56,1.32
510,vila velha,11,PT,1627364063,93,42.0304,-8.1588,54.73,3.49
511,itoman,40,JP,1627364063,84,26.1247,127.6694,87.82,16.11
512,ust-ilimsk,49,RU,1627364063,24,58.0006,102.6619,91.0,4.34
513,piacabucu,33,BR,1627364064,89,-10.4056,-36.4344,72.16,5.28
514,blyznyuky,9,UA,1627364064,45,48.8578,36.5551,75.56,9.93
515,tema,40,GH,1627364064,83,5.667,-0.0166,77.41,8.05
516,normandin,98,CA,1627364065,76,48.8333,-72.5321,57.51,12.66
517,bara,100,NG,1627364065,95,10.3744,10.7288,71.87,3.76
518,tahe,94,CN,1627364065,55,52.3333,124.7333,77.88,7.18
519,sarai,35,RU,1627364065,47,53.7458,41.0213,74.75,5.48
520,banda aceh,100,IN,1627364066,63,25.4833,80.3333,90.68,12.1
521,costinesti,0,RO,1627364066,44,43.95,28.6333,81.01,5.77
522,smithers,40,CA,1627363804,94,54.7804,-127.1743,53.92,0.0
523,ginda,92,IN,1627364066,83,30.6945,78.4932,75.06,4.18
524,ambon,40,ID,1627364067,83,-3.6954,128.1814,82.54,8.05
525,baykit,2,RU,1627364067,27,61.67,96.37,89.17,10.49
526,adilabad,100,IN,1627364067,63,19.6667,78.5333,85.48,19.06
527,haicheng,51,CN,1627364067,48,40.8516,122.7475,88.47,10.2
528,hofn,100,IS,1627364068,86,64.2539,-15.2082,52.74,7.14
529,vostok,100,RU,1627364068,49,46.4856,135.8833,87.35,5.61
530,kuusamo,0,FI,1627364068,63,65.9667,29.1833,60.84,1.14
531,casper,1,US,1627363910,28,42.8666,-106.3131,77.5,1.01
532,kaihua,21,CN,1627364069,58,23.3687,104.28,80.8,3.47
533,tilichiki,100,RU,1627364069,85,60.4667,166.1,52.77,4.29
534,wattegama,93,LK,1627364069,37,6.7989,81.4808,88.72,11.32
535,petropavlovsk-kamchatskiy,20,RU,1627363881,64,53.0452,158.6483,72.19,4.47
536,roebourne,83,AU,1627364069,42,-20.7833,117.1333,83.37,15.48
537,spartanburg,40,US,1627364070,96,34.9496,-81.9321,74.08,0.0
538,bismarck,1,US,1627363521,69,46.8083,-100.7837,78.82,9.22
539,morondava,22,MG,1627364070,49,-20.2833,44.2833,72.28,9.89
540,yulara,16,AU,1627364070,15,-25.2406,130.9889,84.04,23.02
541,chapais,70,CA,1627364071,97,49.7834,-74.8492,51.58,4.65
542,hoogeveen,36,NL,1627364058,95,52.6833,6.5833,64.11,8.9
543,astorga,6,BR,1627364071,47,-23.2325,-51.6656,66.6,5.5
544,palora,20,EC,1627364071,88,-1.7,-77.9333,62.42,3.09
545,iberia,75,US,1627364071,94,29.9502,-91.7507,82.47,0.0
546,perigueux,100,FR,1627364072,89,45.1833,0.7167,59.95,1.68
547,zalantun,100,CN,1627364072,91,48.0,122.7167,69.39,4.27
548,iasmos,0,GR,1627364073,62,41.1333,25.1833,80.51,2.24
549,trairi,5,BR,1627364073,81,-3.2778,-39.2689,77.09,12.08
550,manaus,0,BR,1627363961,89,-3.1019,-60.025,79.29,2.3
551,bitung,97,ID,1627364073,68,1.4451,125.1824,94.05,16.75
552,orlik,52,RU,1627364073,41,52.5178,99.825,75.47,3.18
553,arlit,96,NE,1627364074,53,18.7369,7.3853,85.75,17.31
554,salinas,1,US,1627364032,82,36.6777,-121.6555,67.44,6.91
555,cuamba,23,MZ,1627364074,63,-14.8031,36.5372,61.52,8.63
